GCAM_basin_ID,GLU_name
1,ArcticIsl
2,NWTerr
3,SiberiaN
4,SiberiaW
5,KaraSea
6,LenaR
7,PacArctic
8,ScndnvN
9,BarentsSea
10,Mackenzie
11,Iceland
12,Sweden
13,Finland
14,DvinaRN
15,HudsonBay
16,Scotland
17,NevaR
18,VolgaR
19,CanAtl
20,BalticSea
21,DnkGrmCst
22,NarvaR
23,NelsonR
24,Ireland
25,DaugavaR
26,EngWales
27,FraserR
28,EmsWeserR
29,OderR
30,WislaR
31,ElbeR
32,RhineR
33,PolandCst
34,ChurchillR
35,NemanR
36,ScheldtR
37,RusCstSE
38,UralR
39,DnieperR
40,StLwrncR
41,FranceCstW
42,Gobi
43,AmurR
44,LoireR
45,CaspianNE
46,SeineR
47,BlackSeaN
48,YeniseiR
49,DniesterR
50,ItalyCstE
51,Japan
52,CaspianE
53,DonR
54,DanubeR
55,AdrBlkSea
56,ObR
57,PoR
58,AmuDaryaR
59,ItalyCstW
60,IberiaCst
61,FranceCstS
62,RhoneR
63,MeditIsl
64,Gironde
65,Korea
66,BoHai
67,SpainCstSE
68,LBalkash
69,TiberR
70,BlackSeaS
71,TagusR
72,CaspianSW
73,EbroR
74,DouroR
75,MeditE
76,SyrDaryaR
77,ZiyaHe
78,ChinaCst
79,HuangHeR
80,MeditS
81,GuadianaR
82,Iran
83,GuadalqR
84,TigrEuphR
85,Tarim
86,AfrCstNW
87,NileR
88,PersianGulf
89,IndusR
90,FarahrudR
91,MexBaja
92,Tibet
93,RedSeaE
94,ArabianP
95,DeadSea
96,MexCstNW
97,Helmand
98,SinaiP
99,EJrdnSyr
100,AfrCstNE
101,Caribbean
102,HamuMashR
103,Taiwan
104,ArabianSea
105,MexGulf
106,Yangtze
107,SabarmatiR
108,XunJiang
109,Hong
110,GangesR
111,YucatanP
112,SChinaSea
113,MahiR
114,MexInt
115,MexCstW
116,BengalBay
117,TaptiR
118,BengalW
119,Phlppns
120,BrahmaniR
121,Guam
122,MahanadiR
123,GodavariR
124,Hainan
125,Mekong
126,VietnamCst
127,Salween
128,IndCstNE
129,IndCstW
130,Papaloapan
131,RioLerma
132,RioVerde
133,GrijUsuR
134,RioBalsas
135,CntAmer
136,Tehuantpc
137,IrrawaddyR
138,SittaungR
139,MalaysiaP
140,KrishnaR
141,AdnNicIsl
142,AfrCstW
143,SAmerCstN
144,AfrIntN
145,IndCstE
146,ChaoPhrR
147,PennarR
148,ThaiGulf
149,NigerR
150,Micronesia
151,LChad
152,SenegalR
153,CauveryR
154,SriLanka
155,IndCstS
156,OrinocoR
157,ColEcuaCst
158,IdnE
159,BorneoCstN
160,VoltaR
161,SAmerCstNE
162,GuineaGulf
163,Sumatra
164,Sulawesi
165,Kalimantan
166,MagdalenaR
167,IrianJaya
168,AmazonR
169,ChileCstS
170,ShebJubR
171,AfrCstE
172,BrzCstN
173,PapuaCst
174,TocantinsR
175,JavaTimor
176,SolomonIsl
177,Madagascar
178,SepikR
179,RiftValley
180,PeruCst
181,FlyR
182,AngolaCst
183,CongoR
184,AusCstN
185,NewCaledn
186,BrzCstE
187,ParnaibaR
188,ZambeziR
189,AusCstE
190,AfrCstSE
191,AusCstW
192,SaoFrancR
193,AusInt
194,OrangeR
195,BrzCstS
196,AfrCstSW
197,AfrIntS
198,AfrCstS
199,LimpopoR
200,LaPuna
201,NewZealand
202,AusCstS
203,MarChiq
204,AfrCstSSW
205,Salinas
206,RioLaPlata
207,ChileCstN
208,MurrayDrlg
209,Pampas
210,ArgCstN
211,Tasmania
212,ArgColoR
213,NegroR
214,Patagonia
215,ArgCstS
216,Antarctica
217,California
218,MissppRN
219,MissppRS
220,UsaColoRN
221,UsaColoRS
222,GreatBasin
223,MissouriR
224,ArkWhtRedR
225,TexasCst
226,UsaCstSE
227,GreatLakes
228,OhioR
229,UsaPacNW
230,TennR
231,RioGrande
232,UsaCstNE
233,UsaCstE
234,Hawaii
235,NarmadaR
